10.742188	-17.14	107.59	0.05
11.718750	-16.95	93.27	0.25
12.695313	-19.66	-45.79	0.19
13.671875	-25.22	-103.47	0.31
14.648438	-33.36	-146.80	0.63
15.625000	-36.40	-170.27	0.55
16.601563	-34.10	-174.35	0.16
17.578125	-29.78	159.67	0.36
18.554688	-24.25	142.87	0.47
19.531250	-21.29	122.09	0.37
20.507813	-15.91	109.90	0.47
21.484375	-14.66	115.73	0.57
22.460938	-16.31	126.31	0.37
23.437500	-16.37	131.15	0.41
24.414063	-12.95	121.48	0.43
25.390625	-11.68	118.79	0.34
26.367188	-12.74	134.35	0.63
27.343750	-12.39	158.67	0.32
28.320313	-13.51	-176.50	0.24
29.296875	-15.44	-149.29	0.12
30.273438	-17.58	-149.48	0.07
31.250000	-16.69	-149.75	0.14
32.226563	-15.43	-145.97	0.41
33.203125	-15.06	-157.49	0.56
34.179688	-14.51	-170.43	0.47
35.156250	-14.02	-178.39	0.73
36.132813	-13.77	177.21	0.59
37.109375	-12.91	174.19	0.61
38.085938	-11.94	169.40	0.56
39.062500	-10.98	164.99	0.73
40.039063	-10.67	162.26	0.84
41.015625	-10.64	158.93	0.77
41.992188	-10.51	155.56	0.89
42.968750	-10.92	153.45	0.89
43.945313	-12.14	151.88	0.80
44.921875	-13.89	151.68	0.63
45.898438	-15.61	153.22	0.56
46.875000	-16.45	155.24	0.72
47.851563	-16.44	157.55	0.84
48.828125	-16.01	159.38	0.85
49.804688	-15.65	160.25	0.91
50.781250	-15.18	160.70	0.97
51.757813	-14.49	160.53	0.96
52.734375	-13.70	159.97	0.85
53.710938	-12.67	159.20	0.85
54.687500	-11.60	157.95	0.85
55.664063	-10.67	156.45	0.93
56.640625	-9.73	154.37	0.88
57.617188	-8.85	151.89	0.88
58.593750	-8.25	149.16	0.97
59.570313	-8.00	146.11	0.97
60.546875	-8.00	142.85	0.95
61.523438	-8.21	139.63	0.95
62.500000	-8.40	136.76	0.90
63.476563	-8.88	135.03	0.92
64.453125	-9.35	133.93	0.91
65.429688	-9.94	133.40	0.91
66.406250	-10.58	133.23	0.92
67.382813	-11.27	133.53	0.94
68.359375	-12.00	134.33	0.93
69.335938	-12.54	135.45	0.95
70.312500	-12.74	136.67	0.96
71.289063	-12.66	137.96	0.96
72.265625	-12.48	139.17	0.96
73.242188	-12.26	140.18	0.98
74.218750	-12.01	141.09	0.98
75.195313	-11.67	141.92	0.98
76.171875	-11.30	142.60	0.99
77.148438	-10.93	143.12	0.99
78.125000	-10.52	143.52	0.99
79.101563	-10.05	143.80	0.99
80.078125	-9.60	143.89	0.99
81.054688	-9.16	143.86	0.99
82.031250	-8.74	143.69	1.00
83.007813	-8.30	143.42	0.99
83.984375	-7.87	143.08	0.99
84.960938	-7.39	142.64	0.99
85.937500	-6.86	142.12	0.99
86.914063	-6.30	141.48	0.99
87.890625	-5.71	140.68	0.99
88.867188	-5.16	139.72	0.99
89.843750	-4.64	138.64	0.99
90.820313	-4.17	137.50	1.00
91.796875	-3.71	136.34	1.00
92.773438	-3.26	135.14	1.00
93.750000	-2.81	133.90	1.00
94.726563	-2.36	132.62	1.00
95.703125	-1.91	131.29	1.00
96.679688	-1.45	129.91	1.00
97.656250	-1.00	128.48	1.00
98.632813	-0.54	126.98	1.00
99.609375	-0.09	125.43	1.00
100.585938	0.37	123.83	1.00
101.562500	0.82	122.19	1.00
102.539063	1.27	120.46	1.00
103.515625	1.71	118.64	1.00
104.492188	2.13	116.77	1.00
105.468750	2.54	114.82	1.00
106.445313	2.93	112.81	1.00
107.421875	3.31	110.72	1.00
108.398438	3.65	108.57	1.00
109.375000	3.97	106.36	0.99
110.351563	4.27	104.09	0.99
111.328125	4.54	101.78	1.00
112.304688	4.77	99.45	1.00
113.281250	4.96	97.08	1.00
114.257813	5.10	94.66	1.00
115.234375	5.17	92.19	0.99
116.210938	5.16	89.70	0.98
117.187500	5.07	87.32	0.99
118.164063	4.91	85.17	0.99
119.140625	4.71	83.22	1.00
120.117188	4.50	81.46	0.99
121.093750	4.29	79.83	1.00
122.070313	4.09	78.27	0.99
123.046875	3.86	76.79	0.99
124.023438	3.62	75.41	1.00
125.000000	3.35	74.16	1.00
125.976563	3.09	73.03	1.00
126.953125	2.82	71.99	0.99
127.929688	2.57	71.08	0.99
128.906250	2.36	70.29	0.98
129.882813	2.19	69.60	0.97
130.859375	2.11	68.95	0.98
131.835938	2.11	68.29	0.99
132.812500	2.16	67.59	1.00
133.789063	2.23	66.85	1.00
134.765625	2.31	66.05	0.99
135.742188	2.41	65.20	0.99
136.718750	2.50	64.27	0.99
137.695313	2.54	63.26	0.99
138.671875	2.48	61.51	0.98
140.625000	2.28	59.56	0.94
142.578125	1.64	57.30	0.94
144.531250	0.77	56.08	0.96
146.484375	-0.22	55.76	0.90
148.437500	-1.14	56.00	0.76
150.390625	-1.34	56.32	0.93
152.343750	-1.08	56.55	0.97
154.296875	-0.48	56.60	0.97
156.250000	0.26	56.31	0.96
158.203125	1.01	55.61	0.97
160.156250	1.69	54.51	0.99
162.109375	2.31	53.07	0.99
164.062500	2.88	51.29	0.99
166.015625	3.35	49.16	0.99
167.968750	3.67	46.76	0.99
169.921875	3.85	44.19	0.99
171.875000	3.85	41.46	0.97
173.828125	3.62	38.81	0.97
175.781250	3.18	36.55	0.98
177.734375	2.64	34.64	0.98
179.687500	2.00	33.03	0.97
181.640625	1.24	31.89	0.96
183.593750	0.46	31.22	0.97
185.546875	-0.20	30.85	0.93
187.500000	-0.68	30.63	0.92
189.453125	-0.97	30.43	0.97
191.406250	-1.23	30.18	0.97
193.359375	-1.50	29.97	0.96
195.312500	-1.79	29.93	0.92
197.265625	-1.98	30.03	0.92
199.218750	-2.01	30.17	0.91
201.171875	-1.88	30.32	0.96
203.125000	-1.66	30.36	0.98
205.078125	-1.41	30.22	0.97
207.031250	-1.16	29.92	0.97
208.984375	-0.99	29.43	0.97
210.937500	-0.90	28.81	0.97
212.890625	-0.89	28.14	0.97
214.843750	-0.97	27.52	0.98
216.796875	-1.14	27.00	0.97
218.750000	-1.37	26.64	0.98
220.703125	-1.59	26.42	0.98
222.656250	-1.81	26.32	0.94
224.609375	-1.97	26.29	0.95
226.562500	-2.12	26.26	0.97
228.515625	-2.26	26.25	0.98
230.468750	-2.42	26.26	0.97
232.421875	-2.60	26.30	0.98
234.375000	-2.81	26.46	0.97
236.328125	-3.05	26.79	0.93
238.281250	-3.23	27.20	0.95
240.234375	-3.34	27.65	0.96
242.187500	-3.43	28.12	0.96
244.140625	-3.50	28.64	0.95
246.093750	-3.53	29.21	0.87
248.046875	-3.43	29.79	0.88
